Location,Total,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Year
Median Rent Price - Oklahoma,759.0,561.0,602.0,742.0,899.0,1104.0,939.0,2015
Median Rent Price - Payne County,779.0,641.0,681.0,740.0,955.0,1270.0,1088.0,2015
Median Rent Price - Oklahoma,818.0,609.0,662.0,805.0,977.0,1127.0,1126.0,2016
Median Rent Price - Payne County,811.0,591.0,638.0,782.0,997.0,1160.0,1034.0,2016
Median Rent Price - Oklahoma,780.0,607.0,628.0,770.0,921.0,1102.0,1006.0,2017
Median Rent Price - Payne County,774.0,649.0,567.0,710.0,943.0,1546.0,1088.0,2017
Median Rent Price - Oklahoma,808.0,611.0,637.0,798.0,953.0,1146.0,1137.0,2018
Median Rent Price - Payne County,830.0,604.3846153846154,627.0,797.0,1028.0,1295.0,1121.0,2018
Median Rent Price - Oklahoma,814.0,607.0,641.0,793.0,980.0,1170.0,1113.0,2019
Median Rent Price - Payne County,789.0,545.0,640.0,764.0,1069.0,817.0,945.0,2019
Median Rent Price - Oklahoma,818.0,609.0,662.0,805.0,977.0,1127.0,1126.0,2020
Median Rent Price - Payne County,811.0,591.0,638.0,782.0,997.0,1160.0,1034.0,2020
Median Rent Price - Oklahoma,855.0,659.0,708.0,840.0,1011.0,1221.0,1387.0,2021
Median Rent Price - Payne County,797.0,577.0,681.0,781.0,987.0,1581.0,1088.0,2021
